speaker,start_time,end_time,emotion,scores,text
MATT,00:00:00,00:00:05,happy,"{'angry': 0.0021649713162332773, 'calm': 0.0013612736947834492, 'disgust': 0.0011656617280095816, 'fearful': 0.005042884033173323, 'happy': 0.9842665791511536, 'sad': 0.00017919842503033578, 'surprised': 0.005819405894726515}","Hello, everyone and welcome to tonight's episode of Critical Role, where a bunch of us nerdy-ass voice actors sit around and play Dungeons & Dragons."
TRAVIS,00:00:05,00:00:07,sad,"{'angry': 0.002121019409969449, 'calm': 0.001981120090931654, 'disgust': 0.1155930608510971, 'fearful': 0.40339532494544983, 'happy': 0.0049585881642997265, 'sad': 0.47061771154403687, 'surprised': 0.00133321073371917}",(hip and cool) We play Dungeons & Dragons.
TRAVIS,00:00:07,00:00:13,disgust,"{'angry': 0.0030935821123421192, 'calm': 0.0021276543848216534, 'disgust': 0.8554730415344238, 'fearful': 0.03141988068819046, 'happy': 0.014500170946121216, 'sad': 0.09022097289562225, 'surprised': 0.003164607333019376}",Yeah. (laughter)
MATT,00:00:13,00:00:15,happy,"{'angry': 0.0016368712531402707, 'calm': 0.0019404664635658264, 'disgust': 0.001557957730256021, 'fearful': 0.027309808880090714, 'happy': 0.965395450592041, 'sad': 0.0005386155680753291, 'surprised': 0.001620765309780836}",That was different.
TRAVIS,00:00:15,00:00:16,calm,"{'angry': 0.00030497973784804344, 'calm': 0.682342529296875, 'disgust': 0.0025016411673277617, 'fearful': 0.010785920545458794, 'happy': 0.0019059734186157584, 'sad': 0.30117368698120117, 'surprised': 0.0009852811926975846}",I just let it come.
MARISHA,00:00:16,00:00:20,sad,"{'angry': 0.0008100101258605719, 'calm': 0.001095275511033833, 'disgust': 0.4641750454902649, 'fearful': 0.03184089809656143, 'happy': 0.0014534431975334883, 'sad': 0.48507750034332275, 'surprised': 0.015547906048595905}","We're on island time, baby."
MATT,00:00:20,00:00:29,happy,"{'angry': 0.007936463691294193, 'calm': 0.005682991351932287, 'disgust': 0.019948726519942284, 'fearful': 0.05233561247587204, 'happy': 0.8986201286315918, 'sad': 0.004177405498921871, 'surprised': 0.011298648081719875}","The Pauly Shore guest episode. So, yes, welcome! Before we get into tonight's episode, we do have some announcements to get through, beginning with the first of three sponsors tonight."
SAM,00:00:29,00:00:31,disgust,"{'angry': 0.024294087663292885, 'calm': 0.00375318992882967, 'disgust': 0.5789397954940796, 'fearful': 0.023169972002506256, 'happy': 0.3008708655834198, 'sad': 0.01286227535456419, 'surprised': 0.056109875440597534}",Ah!
MATT,00:00:31,00:00:39,happy,"{'angry': 0.003869173815473914, 'calm': 0.0009336231742054224, 'disgust': 0.0018533816328272223, 'fearful': 0.004800789058208466, 'happy': 0.9723471403121948, 'sad': 0.00019284097652416676, 'surprised': 0.0160030797123909}","Because the scheduling stuff is crazy, and tonight we get three, which is fun. Beginning with Sam with Skillshare."
SAM,00:00:39,00:02:15,happy,"{'angry': 0.004656143486499786, 'calm': 0.0005878991796635091, 'disgust': 0.002296256832778454, 'fearful': 0.026399752125144005, 'happy': 0.9636205434799194, 'sad': 0.0002736843889579177, 'surprised': 0.0021657210309058428}","Yes, this episode is sponsored by Skillshare, an online learning community with thousands of inspiring classes for creative and curious people. Classes designed for real life, like graphic design, creative writing and music. And speaking of music, with the success of Hamilton LIVE-- and it's very current, guys-- (laughter) I thought I'd write a hip hop musical about Skillshare. But don't worry, Marisha, it is totally legally distinct. ♪ How does a simple, dimpled puckish bro ♪ ♪ Get some online learning while he's stuck at home ♪ ♪ By subscribing to the site he heard of on Thursday night ♪ ♪ From that tight Sam guy, who is always quite right ♪ ♪ This musical is certainly legally distinct ♪ ♪ It's not about a founding father or so you think ♪ ♪ The lyrics are different and there's no taking your shot ♪ ♪ Oh shit, I just said it, or maybe you forgot ♪ ♪ It's about your Skillshare memberships at 10 bucks ♪ ♪ Skillshare ♪ ♪ I probably shouldn't rhyme with bucks ♪ ♪ Skillshare ♪ ♪ It's like Hamilton, but not ♪ ♪ Skillshare ♪ ♪ I am not throwing away my ♪ opportunity. (laughter) With annual membership starting at $10 a month, Skillshare is a great way to learn and unlock your creativity. And as a special offer, the first thousand Critters to join Skillshare, by following this link, will get a two month free trial of our premium membership. Go to Skillshare right now. Back to you, Matt. (cheering and clapping)"
