speaker,start_time,end_time,emotion,scores,text
MATT,00:00:00,00:00:05,happy,"{'angry': 0.00288422335870564, 'calm': 0.0009678895003162324, 'disgust': 0.0012217522598803043, 'fearful': 0.005492071155458689, 'happy': 0.9818609952926636, 'sad': 0.0001614345528651029, 'surprised': 0.007411595433950424}","Hello, everyone, and welcome to tonight's episode of Critical Role, where a bunch of us nerdy-ass voice actors sit around and play Dungeons & Dragons."
ALL,00:00:05,00:00:07,happy,"{'angry': 0.0012230263091623783, 'calm': 0.012183564715087414, 'disgust': 0.004401130136102438, 'fearful': 0.06982531398534775, 'happy': 0.9027949571609497, 'sad': 0.005535251460969448, 'surprised': 0.004036776255816221}",(hollering) We play Dungeons & Dragons!
SAM,00:00:07,00:00:12,disgust,"{'angry': 0.0047866241075098515, 'calm': 0.003233552910387516, 'disgust': 0.547853410243988, 'fearful': 0.12854155898094177, 'happy': 0.0092188511043787, 'sad': 0.30467450618743896, 'surprised': 0.001691458746790886}",Zop a doop a doop.
MATT,00:00:12,00:00:25,happy,"{'angry': 0.0038196342065930367, 'calm': 0.0010027443058788776, 'disgust': 0.0024596985895186663, 'fearful': 0.0056536500342190266, 'happy': 0.9455170035362244, 'sad': 0.000294671073788777, 'surprised': 0.04125251621007919}","Before we jump into tonight's episode, and I slowly bleed from one nostril from whatever that wall of sound was, we are going to get through some announcements, beginning with our two sponsors, the first of which is D&D Beyond. Sam."
SAM,00:00:25,00:01:14,happy,"{'angry': 0.002026423579081893, 'calm': 0.0013551905285567045, 'disgust': 0.0026610554195940495, 'fearful': 0.027745909988880157, 'happy': 0.9595403671264648, 'sad': 0.0006965153734199703, 'surprised': 0.005974549800157547}","Hit it, guys. Tonight, we're in the holiday mood, and so we're going to sing you a holiday Christmas carol. (to the tune of ""Silent Night"") ♪ Violent night ♪ ♪ Holy shit ♪ ♪ Matt's going to kill us ♪ ♪ We should quit ♪ ♪ Our fate is tied ♪ ♪ to the roll ♪ ♪ of the dices ♪ ♪ And all our stats ♪ ♪ on our tablet devices ♪ ♪ Convenient all night long ♪ ♪ Praise D&D Beyond ♪ Why don't you join in with me?"
LIAM,00:01:14,00:01:34,sad,"{'angry': 0.0004648793546948582, 'calm': 0.0012252029264345765, 'disgust': 0.06911149621009827, 'fearful': 0.04816533252596855, 'happy': 0.0004532118036877364, 'sad': 0.879144549369812, 'surprised': 0.0014353576116263866}","Oh god. ALL ♪ Violent night ♪ ♪ We're going to die ♪ ♪ Matt makes baby sounds, ♪ ♪ Willingham cries ♪ ♪ Round the table, ♪ ♪ group of best friends ♪"
LIAM,00:01:34,00:01:35,fearful,"{'angry': 0.0008093788637779653, 'calm': 0.00910237804055214, 'disgust': 0.008976394310593605, 'fearful': 0.8157075047492981, 'happy': 0.07056102156639099, 'sad': 0.09352678805589676, 'surprised': 0.0013165177078917623}",Oof!
ALL,00:01:35,00:01:39,sad,"{'angry': 0.0007745683542452753, 'calm': 0.0013046028325334191, 'disgust': 0.23116227984428406, 'fearful': 0.033483847975730896, 'happy': 0.0006225333781912923, 'sad': 0.7305046916007996, 'surprised': 0.0021475455723702908}",♪ It's such a shame that tonight's how it ends ♪
ALL,00:01:39,00:01:48,sad,"{'angry': 0.0006445213221013546, 'calm': 0.0012549626408144832, 'disgust': 0.08001595735549927, 'fearful': 0.0699986070394516, 'happy': 0.0006281734677031636, 'sad': 0.8461011648178101, 'surprised': 0.0013566612033173442}",♪ It's such a shame that tonight's how it ends ♪ ♪ Most of us aren't gonna live ♪ ♪ Most of us aren't gonna live ♪
MATT,00:01:48,00:01:56,sad,"{'angry': 0.0005205573397688568, 'calm': 0.001288061961531639, 'disgust': 0.10867687314748764, 'fearful': 0.027105513960123062, 'happy': 0.000382845668355003, 'sad': 0.8601431250572205, 'surprised': 0.001883079530671239}",♪ Roll for initiative ♪ (laughter)
TRAVIS,00:01:56,00:01:59,fearful,"{'angry': 0.0019243189599364996, 'calm': 0.0025074908044189215, 'disgust': 0.043191175907850266, 'fearful': 0.7696425318717957, 'happy': 0.023861350491642952, 'sad': 0.1572979986667633, 'surprised': 0.0015751314349472523}",All the angels lost their wings.
SAM,00:01:59,00:02:02,disgust,"{'angry': 0.011096210218966007, 'calm': 0.013002107851207256, 'disgust': 0.5885556936264038, 'fearful': 0.13435973227024078, 'happy': 0.0759475827217102, 'sad': 0.1740805208683014, 'surprised': 0.0029581738635897636}",Happy holidays from D&D Beyond.
MARISHA,00:02:02,00:02:04,disgust,"{'angry': 0.002442779717966914, 'calm': 0.00047049293061718345, 'disgust': 0.9725324511528015, 'fearful': 0.003744931425899267, 'happy': 0.0023701004683971405, 'sad': 0.0163579061627388, 'surprised': 0.0020812375005334616}",Aww. (cheering)
ASHLEY,00:02:04,00:02:05,disgust,"{'angry': 0.0018241195939481258, 'calm': 0.0014635527040809393, 'disgust': 0.8179333209991455, 'fearful': 0.015591735020279884, 'happy': 0.001779938000254333, 'sad': 0.15998496115207672, 'surprised': 0.0014223216567188501}",Yay.
MATT,00:02:05,00:02:07,happy,"{'angry': 0.0015713785542175174, 'calm': 0.002504959935322404, 'disgust': 0.0036995180416852236, 'fearful': 0.013005741871893406, 'happy': 0.9610973000526428, 'sad': 0.0010110307484865189, 'surprised': 0.01711016707122326}","Well done, Sam."
SAM,00:02:07,00:02:09,surprised,"{'angry': 0.0016617298824712634, 'calm': 0.0007102824165485799, 'disgust': 0.0013901378260925412, 'fearful': 0.0013817270519211888, 'happy': 0.01345892809331417, 'sad': 0.0010890525300055742, 'surprised': 0.9803080558776855}",Some of those words we could hear.
MATT,00:02:09,00:02:10,happy,"{'angry': 0.0018763240659609437, 'calm': 0.0024762956891208887, 'disgust': 0.0010774345137178898, 'fearful': 0.005669575650244951, 'happy': 0.986656665802002, 'sad': 0.00021255981118883938, 'surprised': 0.0020310627296566963}",You finally got one.
LIAM,00:02:10,00:02:12,disgust,"{'angry': 0.026453474536538124, 'calm': 0.000964379811193794, 'disgust': 0.949400007724762, 'fearful': 0.0030773761682212353, 'happy': 0.014392977580428123, 'sad': 0.0040077208541333675, 'surprised': 0.0017039994709193707}","Man, happy TPK, everybody."
