speaker,start_time,end_time,emotion,scores,text
MATT,00:00:00,00:00:05,happy,"{'angry': 0.002904467983171344, 'calm': 0.0014736339217051864, 'disgust': 0.0013333484530448914, 'fearful': 0.0033776110503822565, 'happy': 0.9777461290359497, 'sad': 0.0001694292004685849, 'surprised': 0.01299535296857357}","Hello everyone, and welcome to Critical Role where a bunch of us nerdy-ass voice actors sit around and play Dungeons & Dragons."
ALL,00:00:05,00:00:08,sad,"{'angry': 0.0020770621486008167, 'calm': 0.0022128415293991566, 'disgust': 0.15983563661575317, 'fearful': 0.30170273780822754, 'happy': 0.004641825798898935, 'sad': 0.5281980633735657, 'surprised': 0.0013318206183612347}",(discordantly) We play Dungeons & Dragons!
MATT,00:00:08,00:00:18,happy,"{'angry': 0.004053713753819466, 'calm': 0.0013760017463937402, 'disgust': 0.0020311670377850533, 'fearful': 0.003325704950839281, 'happy': 0.9738302826881409, 'sad': 0.00019247260934207588, 'surprised': 0.01519059482961893}","Before we get into tonight's episode, we do we have some announcements to get through. Beginning with our two sponsors for the night, beginning first with Petersen Games. Sam, take it away."
SAM,00:00:18,00:00:21,disgust,"{'angry': 0.005207449663430452, 'calm': 0.0014945496805012226, 'disgust': 0.7100851535797119, 'fearful': 0.09981667250394821, 'happy': 0.0084559116512537, 'sad': 0.17224454879760742, 'surprised': 0.002695744624361396}","(bad Dave Matthews impression) Oh oh, I didn't see you there. I was--"
MARISHA,00:00:21,00:00:24,fearful,"{'angry': 0.002636360004544258, 'calm': 0.0014752417337149382, 'disgust': 0.02188716270029545, 'fearful': 0.8857534527778625, 'happy': 0.01523179467767477, 'sad': 0.07234515249729156, 'surprised': 0.0006707722204737365}",Oh no! (laughter)
SAM,00:00:24,00:00:36,happy,"{'angry': 0.18249498307704926, 'calm': 0.000996602000668645, 'disgust': 0.06454440206289291, 'fearful': 0.07486338913440704, 'happy': 0.6559544801712036, 'sad': 0.001887644873932004, 'surprised': 0.01925847679376602}","I was jamming out to some frat fusion rock. You see, I'm Bob Matthews, Dave Matthews' ♪ younger brother. ♪ What-a would you say if I told you--"
ASHLEY,00:00:36,00:00:37,fearful,"{'angry': 0.0012736504431813955, 'calm': 0.0031210286542773247, 'disgust': 0.0017315855948254466, 'fearful': 0.7109687328338623, 'happy': 0.27280229330062866, 'sad': 0.0071440511383116245, 'surprised': 0.0029586825985461473}",Oh wow.
SAM,00:00:37,00:01:44,happy,"{'angry': 0.11561327427625656, 'calm': 0.0011023523984476924, 'disgust': 0.030936190858483315, 'fearful': 0.3784381151199341, 'happy': 0.46935194730758667, 'sad': 0.0028407236095517874, 'surprised': 0.0017174073727801442}","-- if I told you that Petersen Games is the best of what's around? Yep, their brand new source book, Cthulhu Mythos Sagas: Dark ♪ Worlds ♪ make me want to ♪ eat, drink and be merry for tomorrow. ♪ ♪ Yes! ♪ All you little ants better go march into-- step into this ♪ immersive world ♪ from Sandy Petersen, as you and fellow heroes get caught-- (badly played guitar chords) in the blunders of a mad ruler, and are sent to new worlds to face unique dangers. (laughter) (terribly played chords continue) Each of the four volumes comes with professionally drawn ♪ maps ♪, beautiful illustrations and dozens before never seen monsters in a hardback book to last the ♪ ages. ♪ Do not take these chances. Get this source book and wrap it up-- (guitar chord) inside a-- (guitar chord) box or a-- (guitar chord) quiet-- (80's phone ring) Oh, hello? Hello? Oh, Bob Matthews here, kid brother of Charlottesville legend, Dave Matthews. What? Oh, it's my brother, Dave Matthews, ooh. He's a big Critter."
ASHLEY,00:01:44,00:01:47,fearful,"{'angry': 0.000565401220228523, 'calm': 0.0020492791663855314, 'disgust': 0.006990734487771988, 'fearful': 0.785614013671875, 'happy': 0.00403417507186532, 'sad': 0.200033500790596, 'surprised': 0.0007129195728339255}",Ooh! (laughter)
SAM,00:01:47,00:02:39,happy,"{'angry': 0.009027357213199139, 'calm': 0.000786771415732801, 'disgust': 0.006218596361577511, 'fearful': 0.4545064866542816, 'happy': 0.5251524448394775, 'sad': 0.0022813614923506975, 'surprised': 0.0020269660744816065}","Oh, what's that, Dave Matthews? He's telling me I shouldn't use his lyrics to sell stuff on our show. But Davy, this isn't a typical situation in these typical ti-- nope. I'm not allowed to say that either, all right. Well, he hung up. Anyway, I guess I ♪ crashed ♪ that one, but go ahead and get the hardcover-- (guitar chord) volume and PDF-- (guitar chord) plus an awesome 20 percent discount on Petersen's Cthulhu Mythos mini-- miniature line. (guitar chord) The core source book-- there's lots of words. And the four previous sagas of the series-- (awful guitar chords) when you use promo code ♪ Critical Role ♪ at checkout. ♪ Check it out now at bit.ly/CRPetersenGames... Satellite. Back to you, Matt. (laughter)"
TALIESIN,00:02:39,00:02:41,disgust,"{'angry': 0.0017915351781994104, 'calm': 0.0006413926603272557, 'disgust': 0.8458970785140991, 'fearful': 0.025444557890295982, 'happy': 0.002523563103750348, 'sad': 0.11996333301067352, 'surprised': 0.0037385900504887104}",I don't what that was.
MATT,00:02:41,00:02:43,happy,"{'angry': 0.005016467999666929, 'calm': 0.0020002955570816994, 'disgust': 0.014994978904724121, 'fearful': 0.028471985831856728, 'happy': 0.797008752822876, 'sad': 0.0030459235422313213, 'surprised': 0.14946161210536957}","Yeah, I mean--"
LIAM,00:02:43,00:02:46,sad,"{'angry': 0.0010608715238049626, 'calm': 0.0017982518766075373, 'disgust': 0.3168751001358032, 'fearful': 0.05282338336110115, 'happy': 0.0013675937661901116, 'sad': 0.6244460940361023, 'surprised': 0.0016287225298583508}",Sam's final form.
MATT,00:02:46,00:02:53,disgust,"{'angry': 0.02000848762691021, 'calm': 0.003972134552896023, 'disgust': 0.7829728126525879, 'fearful': 0.03774228319525719, 'happy': 0.124642014503479, 'sad': 0.026222344487905502, 'surprised': 0.00443993741646409}",Who was it that said Adam Sandler? That's all I could see. That's all I could see the entire time.
LAURA,00:02:53,00:02:54,surprised,"{'angry': 0.002584517700597644, 'calm': 0.0009255509357899427, 'disgust': 0.002176522044464946, 'fearful': 0.003152040531858802, 'happy': 0.058643538504838943, 'sad': 0.0012093145633116364, 'surprised': 0.9313084483146667}",Oh my god.
TRAVIS,00:02:54,00:02:56,disgust,"{'angry': 0.0019442744087427855, 'calm': 0.0004954250180162489, 'disgust': 0.9671308994293213, 'fearful': 0.004254969768226147, 'happy': 0.0021512906532734632, 'sad': 0.021778907626867294, 'surprised': 0.0022442194167524576}",♪ (Adam Sandler impression) ♪
SAM,00:02:56,00:02:58,happy,"{'angry': 0.0035329945385456085, 'calm': 0.001965430798009038, 'disgust': 0.0041147745214402676, 'fearful': 0.011489884927868843, 'happy': 0.5507729053497314, 'sad': 0.0015462097944691777, 'surprised': 0.4265778064727783}",They're very similar.
LIAM,00:02:58,00:03:02,happy,"{'angry': 0.01742003671824932, 'calm': 0.0009880217257887125, 'disgust': 0.011766579933464527, 'fearful': 0.009119750931859016, 'happy': 0.9563279747962952, 'sad': 0.0003439434804022312, 'surprised': 0.004033653065562248}","Wait, before you-- Take that hat off and give us, look at Ashley and give us an (like Joel from TLoU) ""Ellie."""
LAURA,00:03:02,00:03:06,happy,"{'angry': 0.003834158880636096, 'calm': 0.0011283657513558865, 'disgust': 0.004671206697821617, 'fearful': 0.009255025535821915, 'happy': 0.9160898327827454, 'sad': 0.0006033440004102886, 'surprised': 0.06441815942525864}","No, but you got to take the hat off."
TRAVIS,00:03:06,00:03:08,happy,"{'angry': 0.0020446721464395523, 'calm': 0.0025273205246776342, 'disgust': 0.0028153536841273308, 'fearful': 0.007750419434159994, 'happy': 0.9759671092033386, 'sad': 0.000533752259798348, 'surprised': 0.008361353538930416}",Yeah.
